Season,Episode,Character,Line
12,1,Cartman,"AHHHHHH.
"
12,1,Dentist,"Well, there's no doubt about it. Those tonsils need to come out.
"
12,1,Cartman,"What?
"
12,1,Liane,"Uh, what exactly does that entail, doctor?
"
12,1,Dentist,"It's a very simple operation. We'll just put you to sleep, Eric, and when you wake up you'll be tonsil-free!
"
12,1,Cartman,"No- No way. I'm not going to the hospital, Mom!
"
12,1,Dentist,"Oh, I thought you were a tough kid! You're not scared of hospitals, are you?
"
12,1,Cartman,"No, I'm not scared... I just- I don't want my tonsils out, that's all!
"
12,1,Dentist,"Well then I guess you don't want all the ice cream you get after the surgery, either.
"
12,1,Cartman,"...Ice cream?
"
12,1,Dentist,"It'd be a shame to have to give all that free ice cream to the big boys who aren't scared of hospitals.
"
12,1,Liane,"What do you say, champ? Think you can tough it out?
"
12,1,Cartman,"Well...you did say free ice cream? 
"
12,1,Liane,"Poopsiekins, wake up. Wake up, honey.
"
12,1,Cartman,"Uh. It's over?
"
12,1,Liane,"That's right, you did it, Poopsiekins!
"
12,1,Cartman,"Its over! I didn't feel anything! You were right, Mom!
"
12,1,Liane,"I'm so proud of you, Eric.
"
12,1,Cartman,"All right, so where's my ice cream?
"
12,1,Liane,"Oh, here's the doctors now! Hi, doctor.
"
12,1,Cartman,"You were right, doctor! Everything is okay!
"
12,1,Doctor,"No, it's not. Eric, I'm afraid that we've accidentally infected you with the AIDS virus.
"
12,1,Liane,"...What!?
"
12,1,Cartman,"What's that supposed to mean?!
"
12,1,Doctor,"During the tonsil surgery we had to supply you with donor blood. A mistake was made and you were given blood contaminated with HIV. It was a one in a billion fluke.
"
12,1,Cartman,"I HAVE AIDS?
"
12,1,Doctor,"Not yet, but we've confirmed that you now have the virus that causes AIDS. We are very sorry.
"
12,1,Cartman,"""SORRY""?! YOU GAVE ME AIDS AND YOU'RE ""SORRY""?!
"
12,1,Liane,"Oh, my poor little baby!
"
12,1,Cartman,"Mom, you said nothing would go wrong!
"
12,1,Liane,"Oh God!  Oh no!
"
12,1,Cartman,"No! No, this is a joke, right!? This is a joke; I can't have AIDS!
"
12,1,Doctor,"We're going to do everything in our power to make this up to you, Eric. For starters, I think I owe you some ice cream. 
"
12,1,Cartman,"Fuck your ice cream! You said I'd be fine! You all said I'd be FINE!
"
12,1,Liane,"Oh, oh, my baby has HIV!
"
12,1,Cartman,"NO! NOOOOOOOO!
"
12,1,Principal Victoria,"Thank you for coming, everyone. 
"
12,1,Principal Victoria,"Boys, please take a seat.
"
12,1,Stan,"What's going on? Are we in trouble?
"
12,1,Principal Victoria,"Boys, the reason we called you all in is because one of your friends... has a serious illness. Eric Cartman has been diagnosed with HIV.
"
12,1,Stan,"...What?
"
12,1,Butters,"Oh no.
"
12,1,Doctor 2,"He's been to several specialists after a botched blood transfusion. The disease is in very early stages and completely manageable, but he's naturally a bit scared.
"
12,1,Kyle,"Cartman has HIV?
"
12,1,Doctor 2,"We need everyone to understand you can't get the virus from Eric. You can still give him hugs and even kisses. Don't be afraid of him, just-
"
12,1,Kyle,"Excuse me. Eric Cartman has HIV?
"
12,1,Principal Victoria,"All right, we're going to bring Eric in now, and let's all be as supportive as we can and show him lots of love, okay?
"
12,1,Mr. Mackey,"Eric? Come on in, your friends want to say ""Hi"", m'kay? 
"
12,1,Kyle,"...No. Way.
"
