"Hi, Billy Mays here for Megascrub Cleanser."
"Are you tired of your kitchen counters getting those nasty stains? Don't just rub 'em, Megascrub 'em!"
"Mold, mildew, even those impossible wine stains are gone in a flash when you snipe them away."
"Hi, Billy Mays here for Mighty Mend It, the fast and easy way to mend, hem, and wear it again."
"Hi, Billy Mays here with another fantastic product. If you're like other Americans, you love to eat Chipotle , but you hate all those terrible bloodstains in your underwear ."
"Well now there's a product that can clean even bloodstains caused by Chipotle right off your underwear. Chipotl-away.  Just one Chipotle burrito  can leave up to a quarter cup of underwear blood , but Chipotl-away  makes your underwear clean  and ready for more.  Stop buying new underwear every time you eat Chipotle. That can cost you thousands. Chipotl-away gets rid of bloodstains and leaves underwear good as new.  Imagine having underwear so clean you can practically eat off of it."
"Now you can eat all the Chipotle you want , and still have underwear that sparkles and shines . Order right now!"
"Hi, Billy Mays here for the Big City Slider Station."
The fast and easy way to press and cook delicious sliders
"Hi, Billy Mays here with another fantastic product."
Are you tired of having to put your toilet seat down?
"Hi, Billy Mays here for the Super Sweeper."
"Hi, Billy Mays here for the little Country Handy Pillow. Are you tired of sitting in limbo? Lost somewhere between planes of existence? Well now there's a product that can help you-"
"With just two easy steps, I can climb over these seats and kick you right in the fucking balls!"
Finally! Finally we can all move on!
