"Your Holiness, a child has arrived with a the rabbit!"
"Yes, just as a-Jesus intended it."
"Your Holiness, this is Father Maxi from America. He has brought this all to our attention."
"Adoramus te, Christe."
"Cardinals, bishops, and priests, an American priest by the name of-a Maxi has brought to our attention the most troubling of news. All over his-a country there are reports of children being molested by men of the Church. If things continue this way, we'll never be able to have sex with young boys again!"
"Father Maxi, what do you suggest we do to not get caught."
It is not written anywhere in the Holy Document of Vatican Law that sex with-a boys is wrong..
But-a the Holy Document of Vatican Law cannot be changed!
"You see, Father, the Holy Document of Vatican Law has been hidden away deep in the Catacombs of-a St. Peter's below us. Hidden away so that it can never be changed."
"Cardinals, bishops and priests! Father Maxi has returned! And he has the Holy Document of-a Vatican Law!"
"Wait wait-a, the pope-a wants-a to say something.  The pope-a says we shall ask the highest source."
The holy one!  Behold the great Queen Spider!
"O great Queen Spider, we seek a-your guidance."
"Go on, Priest Maxi. See if you can convince her."
Gone! It's all gone!
