"Oh, I'd like to see you do any better, bitch!"
"Yeah, dude. What the hell is wrong with you, anyway? She's like, 12."
"Dude, we never win the Battle of the Bands! It's no big deal."
"Dude, we've been practicing for eight years, Skyler."
What was that?
"Dude, that's hot!"
"We did it, dude!"
"Alright, let's rock this house! Hello Miami!"
"Another great show, man. There must have been a hundred thousand people out there."
"What's the matter, Skyler?"
"Man, it sucks not being part of Lalapalabala."
"Skyler, what are you doing here?!  Isn't Reach for the Skyler supposed to play soon?"
Wow. They really are chanting for us.
"Dude, what's wrong with you?"
