"Mr. Mackey, there's something you should know..."
Isn't it awesome havin' a great wall around our city? Nobody in town except for our good friends.
Nineteen six-
"Go on, kids! Go! Go and don't look back!"
Kids? Don't you remember us?
"We are your parents. You used to live here, with us."
"Are you okay, Clyde?"
"You mean how he said we should trust each other, or how he abducted children?"
"Just look at those boys out there, lovin' the great game of baseball like we did when we were kids."
"Yeah, our boys really stuck it to 'em!"
"You could do it, kids! We know you can win State!"
"Run kid, run!"
