Season,Episode,Character,Line
4,1,Butters,"Wuh-okay! You guys ready up there!?
"
4,1,Sledders,"Ready!
"
4,1,Butters,"On your marks! Get set! Uh-go! 
"
4,1,Stan,"We win again! 
"
4,1,Token,"That's not fair! Cartman's ass is so fat he makes your sled go faster!
"
4,1,Cartman,"Ey! Don't call me fat, Token!
"
4,1,Girl in Pink,"We want to use the sleds now, butt pirates!
"
4,1,Stan,"Sleds are for guys.
"
4,1,Cartman,"Yeah! Why don't you chicks go wash some dishes or get pregnant or something?!
"
4,1,Girl in Pink,"These are the school's sleds, ass rammers, not yours!
"
4,1,Stan,"Look, girls don't even know how to sled. Do something else.
"
4,1,The rest of the boys,"Yeah!
"
4,1,Girl in Pink,"I bet we can sled ten times better than you, doughnut punchers!
"
4,1,Kyle,"Oh yeah?!
"
4,1,The Girls,"Yeah!
"
4,1,Cartman,"We'd kick your girlie ass in sledding!
"
4,1,Girl in Pink,"How about a race down a real hill, then?!
"
4,1,The Girls,"Yeah!
"
4,1,Stan,"You got it!
"
4,1,The rest of the boys,"Yeah!
"
4,1,A few others,"Yeah!
"
4,1,Girl in Pink,"Your best four sledders against our best four sledders!
"
4,1,Stan,"Noo problem!
"
4,1,Girl in Pink,"Then we'll see you this Saturday on Phil Collins Hill!
"
4,1,Kyle,"Phil Collins Hill on Saturday! You got it!
"
4,1,Girl in Pink,"See you there! And may the best woman win, turd burglars!
"
4,1,Stan,"Oh, boy! We'll show them!
"
4,1,Butters,"Yeah. Oo-oo-why, us men will show those skanky hos who's who!
"
4,1,Clyde,"Yeah. Those girls don't realize what good sledders Stan, Kyle, and Kenny are.
"
4,1,Token,"Yeah! And with Cartman's enormously fat ass, the boys are sure to win!
"
4,1,Cartman,"Token, I swear to God, if you call me fat one more time  I'm gonna smack you on the head with this rock! 
"
4,1,Kyle,"Fatass.
"
4,1,Cartman,"There! 
"
4,1,Token,"Oh! 
"
4,1,Cartman,"Heh. Huh. Uh-oh.
"
4,1,Mr. Mackey,"And what you need to understand is that this is not appropriate behavior, young man! M'kay?
"
4,1,Liane,"Eric, don't you realize you could've seriously injured your little friend?
"
4,1,Cartman,"I'm sorry, Mom.
"
4,1,Liane,"Don't apologize to us, apologize to him!
"
4,1,Cartman,"I'm sorry, Token.
"
4,1,Mr. Mackey,"Well, I hope you learned that throwing rocks is bad, Eric.
"
4,1,Cartman,"Oh, I sure do, Mr. Mackey. I mean, I feel really bad, uhh. What was I thinking?  The only thing I can do now... is try to go on and live day by day.  See ya later.
"
4,1,Mr. Mackey,"Not this time, Eric! You've got to learn to respect your little friends! You're gonna have detention for two weeks!
"
4,1,Cartman,"No way!
"
4,1,Mr. Mackey,"Yes way! M'kay, and that settles it! Now, let's all go- 
"
4,1,Man 1,"Counselor Mackey?
"
